,rider,team,year,age,team_points,key,best-classic-riders,top-gc-riders,top-sprinters,top-time-trial-riders,profile_type,profile_score,profile_vert,scorito,target
778,Molano Juan Sebastián,UAE Team Emirates,2020,25,1982,Molano Juan Sebastián-2020,,26.0,132.0,,2.8095238095238093,151.0952380952381,2630.904761904762,,80.0
781,Geoghegan Hart Tao,INEOS Grenadiers,2020,25,1676,Geoghegan Hart Tao-2020,64.0,306.0,,126.0,2.8095238095238093,151.0952380952381,2630.904761904762,,64.0
784,Narváez Jhonatan,INEOS Grenadiers,2020,23,1676,Narváez Jhonatan-2020,36.0,69.0,85.0,,2.8095238095238093,151.0952380952381,2630.904761904762,,18.0
785,Puccio Salvatore,INEOS Grenadiers,2020,31,1676,Puccio Salvatore-2020,15.0,54.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,98.0,18.0
787,Nibali Vincenzo,Trek - Segafredo,2020,35,1339,Nibali Vincenzo-2020,189.0,464.0,,290.0,2.8095238095238093,151.0952380952381,2630.904761904762,,492.0
788,Ciccone Giulio,Trek - Segafredo,2020,25,1339,Ciccone Giulio-2020,177.0,164.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,162.0,433.0
789,Brambilla Gianluca,Trek - Segafredo,2020,33,1339,Brambilla Gianluca-2020,77.0,100.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,70.0,170.0
790,Conci Nicola,Trek - Segafredo,2020,23,1339,Conci Nicola-2020,18.0,98.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,,123.0
793,Nibali Antonio,Trek - Segafredo,2020,28,1339,Nibali Antonio-2020,,33.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,10.0,0.0
795,Pozzovivo Domenico,NTT Pro Cycling,2020,37,466,Pozzovivo Domenico-2020,,394.0,,18.0,2.8095238095238093,151.0952380952381,2630.904761904762,464.0,67.0
796,Campenaerts Victor,NTT Pro Cycling,2020,28,466,Campenaerts Victor-2020,,148.0,,642.0,2.8095238095238093,151.0952380952381,2630.904761904762,86.0,110.0
798,Ghebreigzabhier Amanuel,NTT Pro Cycling,2020,26,466,Ghebreigzabhier Amanuel-2020,27.0,108.0,,49.0,2.8095238095238093,151.0952380952381,2630.904761904762,,8.0
802,Wyss Danilo,NTT Pro Cycling,2020,35,466,Wyss Danilo-2020,10.0,,27.8,,2.8095238095238093,151.0952380952381,2630.904761904762,,8.0
803,Knox James,Deceuninck - Quick Step,2020,24,1415,Knox James-2020,,380.0,33.5,49.0,2.8095238095238093,151.0952380952381,2630.904761904762,,3.0
804,Masnada Fausto,Deceuninck - Quick Step,2020,26,1415,Masnada Fausto-2020,89.0,264.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,20.0,291.0
806,Serry Pieter,Deceuninck - Quick Step,2020,31,1415,Serry Pieter-2020,98.0,57.0,44.6,,2.8095238095238093,151.0952380952381,2630.904761904762,,62.0
807,Honoré Mikkel Frølich,Deceuninck - Quick Step,2020,23,1415,Honoré Mikkel Frølich-2020,42.0,45.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,,0.0
813,De Gendt Thomas,Lotto Soudal,2020,33,495,De Gendt Thomas-2020,,86.0,,419.0,2.8095238095238093,151.0952380952381,2630.904761904762,,112.0
815,Hansen Adam,Lotto Soudal,2020,39,495,Hansen Adam-2020,11.0,41.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,10.0,20.0
820,Hindley Jai,Team Sunweb,2020,24,1708,Hindley Jai-2020,25.0,271.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,,16.0
821,Hamilton Chris,Team Sunweb,2020,25,1708,Hamilton Chris-2020,24.0,241.0,26.0,,2.8095238095238093,151.0952380952381,2630.904761904762,24.0,34.0
822,Oomen Sam,Team Sunweb,2020,25,1708,Oomen Sam-2020,14.0,150.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,240.0,40.0
824,Haga Chad,Team Sunweb,2020,32,1708,Haga Chad-2020,18.0,53.0,,333.0,2.8095238095238093,151.0952380952381,2630.904761904762,52.0,90.0
