name,gc_result,giro_w,stage_result,stage_wins,top10,giro_total,year
Kelderman Wilco,5,-,4,-,-,537,2019
Geschke Simon,25,-,1,1,1,520,2019
Zakarin Ilnur,9,-,1,1,1,512,2019
Gaudu David,11,-,4,-,-,511,2019
Reichenbach Sébastien,14,-,3,-,-,505,2019
Bilbao Pello,9,-,2,-,-,505,2019
Viviani Elia,130,-,1,1,1,503,2019
Kangert Tanel,16,-,14,-,-,467,2019
Moinard Amaël,14,-,5,-,-,466,2019
Philipsen Jasper,109,-,2,-,-,465,2019
Taaramäe Rein,11,-,3,-,-,451,2019
Burghardt Marcus,58,-,1,1,1,421,2019
Teuns Dylan,17,-,1,2,2,404,2019
Simon Julien,87,-,6,-,-,394,2019
Frank Mathias,8,-,5,-,-,378,2019
Benoot Tiesj,20,-,2,-,-,373,2019
Henao Sergio,12,-,10,-,-,373,2019
Cummings Steve,86,-,1,2,2,371,2019
Kragh Andersen Søren,52,-,1,2,2,370,2019
Herrada Jesús,20,-,2,-,-,368,2019
Erviti Imanol,67,-,2,-,-,348,2019
Castroviejo Jonathan,23,-,6,-,-,340,2019
Küng Stefan,49,-,2,-,-,340,2019
Bonnet William,99,-,5,-,-,336,2019
Cherel Mikaël,18,-,8,-,-,334,2019
Naesen Oliver,61,-,4,-,-,333,2019
Konrad Patrick,27,-,1,1,1,321,2019
Devenyns Dries,46,-,3,-,-,320,2019
Bol Cees,140,-,2,-,-,308,2019
Calmejane Lilian,30,-,1,1,1,306,2019
Mohorič Matej,31,-,1,2,2,305,2019
Bouet Maxime,42,-,2,-,-,303,2019
Kämna Lennard,33,-,1,1,1,300,2019
Asgreen Kasper,64,-,2,-,-,291,2019
Politt Nils,50,-,1,1,1,285,2019
Cort Magnus,56,-,1,1,1,284,2019
Arndt Nikias,67,-,2,-,-,276,2019
Bak Lars Ytting,37,-,4,-,-,270,2019
Valgren Michael,44,-,4,-,-,260,2019
Meurisse Xandro,21,-,3,-,-,253,2019
Schär Michael,43,-,17,-,-,250,2019
Skujiņš Toms,71,-,2,-,-,246,2019
Teunissen Mike,76,-,1,1,1,245,2019
Périchon Pierre-luc,42,-,4,-,-,242,2019
Ladagnous Matthieu,71,-,5,-,-,235,2019
Sicard Romain,31,-,7,-,-,233,2019
Mørkøv Michael,93,-,2,-,-,231,2019
Pasqualon Andrea,88,-,6,-,-,228,2019
Fraile Omar,57,-,1,1,1,228,2019
De Kort Koen,70,-,9,-,-,226,2019
